"Day","Date","League","Type","Gilded.Ambush.Scarab","Gilded.Bestiary.Scarab","Gilded.Breach.Scarab","Gilded.Cartography.Scarab","Gilded.Divination.Scarab","Gilded.Elder.Scarab","Gilded.Harbinger.Scarab","Gilded.Perandus.Scarab","Gilded.Reliquary.Scarab","Gilded.Shaper.Scarab","Gilded.Sulphite.Scarab","Gilded.Torment.Scarab","Polished.Ambush.Scarab","Polished.Bestiary.Scarab","Polished.Breach.Scarab","Polished.Cartography.Scarab","Polished.Divination.Scarab","Polished.Elder.Scarab","Polished.Harbinger.Scarab","Polished.Perandus.Scarab","Polished.Reliquary.Scarab","Polished.Shaper.Scarab","Polished.Sulphite.Scarab","Polished.Torment.Scarab","Rusted.Ambush.Scarab","Rusted.Bestiary.Scarab","Rusted.Breach.Scarab","Rusted.Cartography.Scarab","Rusted.Divination.Scarab","Rusted.Elder.Scarab","Rusted.Harbinger.Scarab","Rusted.Perandus.Scarab","Rusted.Reliquary.Scarab","Rusted.Shaper.Scarab","Rusted.Sulphite.Scarab","Rusted.Torment.Scarab","Gilded.Legion.Scarab","Polished.Legion.Scarab","Rusted.Legion.Scarab"
15,"2019-09-20","Blight HC","Scarab",5.82,7.08,7,16.5,10,7.2,7.42,5,7,2.04,20.71,7.891,3,4,3,5,5.35,2.61,3,2.85,1.04,2,15,2.7,2,2,1,2,2,1,2,1,1,1,13,1,17.77,9.54,3
16,"2019-09-21","Blight HC","Scarab",7.16,7,7,14,10,6.65,7.54,5,7,2.08,21,8.8,3.15818,3.08,3.03396,5,5,3,3,3,1.277,2,16.17,3,2,2,1,2,2,1,2,1,1,1,13,1,20,10,3
17,"2019-09-22","Blight HC","Scarab",8,7,6,13.89,10,6.76,7.54,5,6.59,2.08,21,9.28,3,3,3.15,5,5.86,3,3,2.77902,1.71,2,17,3,2,2,1,2,2,1,2,1,1,1,13.55207,1,20.23636,10.28,3
18,"2019-09-23","Blight HC","Scarab",8,7,6,14,15,6.06,8.88,5,7,2.68,21,11.03,3,3,4,5,6,3,3.76,2.56,2,2,17,2,2,2,1,2,2,1,2,1,1,1,13,1,20,12,3
19,"2019-09-24","Blight HC","Scarab",8,7.25286,6,14,15,6.06,11.27,5,7,3,21,12.1,3,3,4,5,5,2.68,6.31,2.97,2,2,16.72036,2,2,2,1,2,2,1,2,1,1,1,13,1,24.97,12,3
20,"2019-09-25","Blight HC","Scarab",8,8.09,6,12,15,6.28,12,5,7,3,22,12.65,3,3.85,4,5,5,3,5.58079,2.13,2,2,16.15,2.3,2,2,1,2.56,2,1,2,1,1,1,13,1,25,12,4.17
21,"2019-09-26","Blight HC","Scarab",8,7.85413,6.61,12,15,6.28,12,5,7,3,22,14.36,3,3,4,5,5,3,6,2.32,2,2,16.76,3.97,2,1.78,1,3,2,1,2,1,1,1,14,1,25.54,11.03,5
22,"2019-09-27","Blight HC","Scarab",8,8,6.72,12,14.93,7,12,5,7,3,22.43,12.08,3,3,4,5,5,3,6.83,3,2,2,17,4.29,1.42,1.92,1,2.61,2,1,2,1,1,1,13.33,1,26.7,11,5
23,"2019-09-28","Blight HC","Scarab",8,7,7,11.17526,12.37,6,11.9,4.33558,7,3,23,9.98,2,3,4,5,4.91,3,5.16,2,2,2,16,3.38,2,1.93,1,2,2,1,2,1,1,1,12,1,27,11,5
24,"2019-09-29","Blight HC","Scarab",8.24,7.29,7,11,13,6,11,4,7,3,22.21809,9,2.93,4,4,4.0715,4.97,3,6.03,2,1.98,2,14,3,2,1.53,1,2,1,1,2,1,1,1,10,1,27,11,5
25,"2019-09-30","Blight HC","Scarab",9,9,7.32,12,13.91,6,10.95,4,7,3,22,9,3,4,4,5,5,3,6.02,2,2.02,2,14,3,2,1,1,2,1,1,3,1,1,1,11.3802,1,22.1,11,4.13
26,"2019-10-01","Blight HC","Scarab",8.18,8.69,7,11,14,6,9.93,4,6.99,3,21,9.06,3,3,4,5,5,3,5.51316,2,2,2,14,3.58,2,1,1,2,1.05,1,3,1,1,1,12,1,20.11,11,5
27,"2019-10-02","Blight HC","Scarab",8.48,8,7,10,14,6,9,4,6.8,3,20,9,3,3,4,5,5,3,6.06,2,2,2,13.9,4,2,1,1,2,2,1,3,1,1,1,12,1,25,11,4.4
28,"2019-10-03","Blight HC","Scarab",8.48593,8,7,10,14,5.97,9.73,4,6.72,3,20.20826,9,3,4,4,5,5,3,4,2,2,2,13.77468,3,2,1,1,2,2,1,3,1,1,1,12,1,28,11,5
29,"2019-10-04","Blight HC","Scarab",8,8.22,7.86,10.79,13.03,5.97,10.81,4.43,6,3,22,9,3.26,4,4,5,4.26,3,7,2,2,2,13.79953,3,2,1,1,2,1.89,1,3,1,1,1,12,1,28.47,11,5
30,"2019-10-05","Blight HC","Scarab",8,8,8,10.18,13.19179,5.22,10.83,5,6,3,22,8.69,3,4,4,5,4,3,7,2,1.9,2,14,3,2,1,1,2,1.98,1,3,1,1,1,12,1,28,11,4
31,"2019-10-06","Blight HC","Scarab",8,8,8,10,13,5,11,4.13,6,3,21,8,3.38,4,4,5,4,3,7,2,1.88,2,14,3,2,1,1.03505,1.94,1.96,1,3,1,1,1,12,1,25.49034,11,4.04085
32,"2019-10-07","Blight HC","Scarab",8,8.16,8.72,10,13,5,12,4,6,3,20,8.22,3.14,4,3.51,5,4,2.53,7,2,1.82,2,14.22,3,2,1,1,2,2,1,3,1,1,1,12,1,24,10.14,4
33,"2019-10-08","Blight HC","Scarab",8,8,8.07,11,13.66,5,12,4,6.17,3.1,19,8.98,3,4,3.07621,6,4,2.81,7,2,1.74,2,14,3,2,1.66,1,2,1.92,1,3,1,1,1,12,1,22,10,4.18
34,"2019-10-09","Blight HC","Scarab",8,8,8.11,10.94,13,5,11.15,4,6.13,3.75,19,8.79,3,4,3,6,4,2.83,7,2,1.74,2,13,3,2,2,1,2,1,1,3.53,1,1,1,12,1,20,10,5
35,"2019-10-10","Blight HC","Scarab",8,8,9,10,13,4.07,11.48,4,6.13,3.65,19,7.39,3,4,3,5,4,3,7,2,2,2,14,3,2,2,1,2,1,1,3.62,1,1,1,12,1,19.57,10,5
36,"2019-10-11","Blight HC","Scarab",8,8,9.18,10,10.63,4.14,10.94,4,6.35,3.39,19,8.16,3.18,4,3,5,4,3,7,2,2,2,14.1166,3,2,1.54,1,2,1,1,3.65,1,1,1,12,1,19.7,10,4
37,"2019-10-12","Blight HC","Scarab",8,8,9.72,10,9.79,4.26,11.17,4,5.28,3.25,19,8.3,3.01,4,3,5,4,3,7,2,2,2,14,3,2,2,1,2,1.64,1,3,1,1,1,13,1,20,10,4.66
38,"2019-10-13","Blight HC","Scarab",8,8,9.96,10,11.32,4.47,11.2,4,5.56,3,19,8.2,3,4,3.01593,5.45,4,3,7,2,1.49,2,14.54,3.42,2,2,1,2,1.95,1,3,1,1,1,13,1,19,9.43314,5
39,"2019-10-14","Blight HC","Scarab",7,7.84,9.9,10,11.32,4.47,11.77,4.35,7.23,3,19.68,8.18,3.09,3.66,3,6,4.1,3,7,2,1.4,1.77,14.98,3.75,2,2,1,2,2,1,3,1,1,1,13,1,19,7,5
40,"2019-10-15","Blight HC","Scarab",7.11,7.61,10,10,14.94,4.21,10.95,4.94,7.43,3,20,8.5,3.39,3,3,5.5,4.46,3,7,2,2,1.78,15,3.8,2,2,1,2,1.93,1,3,1,1,1,11,1,18.48,7,5
41,"2019-10-16","Blight HC","Scarab",7,8,8.44,8,14.88,4.21,10.95,5,5.47,3,20,9.54,3.25,3,3,5.82,4,3,7,2,1.72,1.7,15,3,2,2,1,2,2,1,3,1,1,1,12.2,1,18.02,8,5
42,"2019-10-17","Blight HC","Scarab",7.01,8,7.71,8,14.1,4.27,13.37,5,5.73,3,20,9.58,3.25,3,3,5.88,4,3,5.82,2,1.64,2,15,3,2,2,1,2,1.93,1,3,1,1,1,12,1,18,8,4
43,"2019-10-18","Blight HC","Scarab",7.05563,8,7.44,8,14.21,4.27,12.99,5,4.96,3,20,11.7,3,2.90232,3,5.39,4,3,5.68,2,1.47,2,14,3,2,2,1,2,1.98,1,3,1,1,1,11,1,18,7.90667,4
44,"2019-10-19","Blight HC","Scarab",6.12,7,7,8.89619,14.06,4,12.99,5,4.91,3,20,9.02,3,2.07,3,5,4,3,5.91,2,2,2,14.26526,3,2,2,1,2,1.76,1,3.16,1,1,1,12,1,17.1258,8,4
45,"2019-10-20","Blight HC","Scarab",6,7,7,8.17,15,4,14.52,4.96,5,3,19,8.68842,3,3,3,5,4,3,5.91,2,2,2,14.92972,3,2,1.80005,1,2,1.88,1,4,1,1,1,10,1.01,16.06,8,4
46,"2019-10-21","Blight HC","Scarab",6,7,7,8.17,15.59,4,14,5,4.17,3.18,19,8.5,3,2.99308,2.5,5,4.14,3,4.5,2,1.52,2,14,3,2,1.64,1,2,1.88,1,3.42,1,1,1,10,1.43,14.96,8,4
47,"2019-10-22","Blight HC","Scarab",6,7,7.44,7.85,15,4,14.41,5,3.88,3.36,17.32,10.71,3.79,3,2.53746,5,5,3,7,2.09452,1.53,2,14,3,2,1.07,1,2,2,1,3,1,1,1,10,1,15,8,4
48,"2019-10-23","Blight HC","Scarab",6,6.7,7,7.66,15,4,14.31,5,3.93,3.29,19,10.81,3,3,2.33,5,5,3,6.61,2,1.78,2,14,3,2,1.05,1,2,2,1,3,1,1,1,10,1,15,8,4.63
49,"2019-10-24","Blight HC","Scarab",6,7,7,7.73,15,4.01,14.41,5,4.11,3,19.52,11.2,3.07,2.76,2.24,5,5,3,6.67,2,2,2,14,2.15,2,2,1,2,2,1,3.46,1,1,1,10,1,15,8,5
50,"2019-10-25","Blight HC","Scarab",6.41,7,7,7.68889,15,4,13.6,5,4.14,3,19,11.78,4,2.54,2,4.63,5,3,9.33,2,2,2,14,1.7,2,2,1,2,2,1,3.6,1,1,1,10,1,15,8,5
51,"2019-10-26","Blight HC","Scarab",5.51,7,7,8,15,4.36929,13.51,5,4.24,3,19,12.16,4,2.27,2,4,5,3,9.81,2,2,1.11,14,1,2,2,1,2,1.85,1,3.26,1,1,1,10,1,15,8,4.43
52,"2019-10-27","Blight HC","Scarab",5.74,7,7,8,15,4,13.51,4.92,4.38,3,19.56,12.94,4,2,2,4,5,2.29,8.47,2,2,1.91,14,1,2,1.99,1,2,1.85,1,4,1,1,1,10,1,15.61,8,4.11
53,"2019-10-28","Blight HC","Scarab",5.84,7,7,7.38,15,4,12.7,4.92,4.28,3,20,14.96,4,3,2,4,5,2.14,8.31,2,2,2,14,1.19,2,2,1,2,1.96,1,4,1,1,1,10,1,16,8.14,4
54,"2019-10-29","Blight HC","Scarab",5,7,7,8,15.08,4,12,4.82,4.43,3,19,14.92,4,3,2,4,5,2,7.99,2,2.06,2,14,1.42,2,2,1,2,2,1,3.55,1,1,1,10,1,16,8.37,4
55,"2019-10-30","Blight HC","Scarab",5,6.41,7,8,15.08,4,12,4.84,4.43,3,19,12.28768,4,2.86,2,4.91,5,2,9.16,2,2.62,2,14.12,1.09,2,2,1,2,2,1,4,1,1,1,10.39,1,16,8.14,4
56,"2019-10-31","Blight HC","Scarab",5,7,7,8,15,4,12,4.74,4.29,3,19,12,4,2.8,2,4.83,5,2,9.16,2,2.42,1.27,14.02,1.25,2,2,1,2,2,1,4,1,1,1,10.38,1,15.77,8,4
57,"2019-11-01","Blight HC","Scarab",5,7,7,8,15,4,12,4.73333,4.13,3.17,19,12,4,3,2,4.75,5,2,10,2,2.54,1.09,14,1.25,2,2,1,2,2,1,3.21,1,1,1,10,1,15,8,3.99
58,"2019-11-02","Blight HC","Scarab",5.85,7,7,8,15,4,12,4.61,3.96,3,20,12.43966,4,3,2,4.75,5,2,10,2,2.58571,1.09,14.15,3,2,2,1,2,2,1,4,1,1,1,10.15606,1,15,8,4
59,"2019-11-03","Blight HC","Scarab",6.08,7,7,8,15,4,11.71,4.83,3.9,3,20,14,4,2.99161,2.85,4,5,2,9.86,2,2.52,1,15,2.97,2,2,1,2.22,2,1,4,1,1,1,11.27,1,15,8,4
60,"2019-11-04","Blight HC","Scarab",6.33,7,7,8,15,4.19,10.69,4.63,4.67,3,20,12.66,4,3,2.61,4,5,2,8.15,2,2.63,1,15.43,2.97,2,2,1,3,2,1,4.69,1,1,1,12,1,14.58,8.17,4
61,"2019-11-05","Blight HC","Scarab",6.83,6,7,8,14,4,10.69,4.63,5,3,20,13.15,4,3,2.74,4,5,2.25,8,2,2.7,1,15.69,3,2,2,1,3,2,1,4.72,1,1,1,12,1,14.7,8,4
62,"2019-11-06","Blight HC","Scarab",6.57,5.14,7,8,14,4,11,4.86,5,3,20,13.26,4,3,2.59,4,5,2,8,2,2.7,1,15.37,3,2,1.93,1,3,2,1,4.8,1,1,1,12,1,12.04,8,3.29
63,"2019-11-07","Blight HC","Scarab",6.42,5.51375,7,7,13.67,4,11,4.86,4.58,3,21,12.85,4,3,2.63,4,5,2,8,2,2,1,16.26,3,2,2,1,3,1.71813,1,5,1,1,1,12.18,1,12.67,9,3
64,"2019-11-08","Blight HC","Scarab",5,5.74,7,7,13.41,4,10.8,4.86,5,3,21,12.49,4,3,2.43,4,5,2,8,2,2.5,1,16.16,2.58,2,2,1,3,1.26,1,4.19,1,1,1,12.87,1,12.86,9,3
65,"2019-11-09","Blight HC","Scarab",5,7,7,7,13.41,4,10.8,6.44,5,3,21.80167,12.12,4,3,2.6313,4,5,2,8,2,2.5,1,15.84,4.91,2,2,1,3,1,1,3.83,0.99,1,1,12.81,1.07,12.15,9,2.68
66,"2019-11-10","Blight HC","Scarab",5,7,7,7,13.41,4,13.88,12.77,5,3,22.17,12,4,3,4,4,5.02,2,7.54,2.02,2.5,1,18,6.9,2,2,1,2,1,1,4,0.97788,1,1,14.92,1.06,12,9,2.37
67,"2019-11-11","Blight HC","Scarab",5,6.36,7,6.97,13.55,4,10.61,6.22,5,3,24.36,12,4,3.28,3.99,5,5,2,7.36,1.84,2.5,1,18,3.4,2,1.58,1,2,1,1,5,0.98,1,1,15,1.06,12,8.03,1.01
68,"2019-11-12","Blight HC","Scarab",5.12,6.18,7,6.88,13.47,4,10.8,6.22,5,3,24.01,12,4,2.95,3.94,4,5.74,1.77,6.98,1.95,2.52,0.99,20.35,3.3,2,1,1,2,1,1,4.53,1,1,1,15,1,12,8.16,1
69,"2019-11-13","Blight HC","Scarab",5.12,6.2,7,6.78,13.67,4,10,4.51,5,3,24.77,12,4,2.75,3.93,4,5.85,1,6.47,1.01,2.52,0.98,21.85,3.61,1.4,1.57,1,2,1.27,1,4.98,1,1,1,15,1,12,8.16,1.58
70,"2019-11-14","Blight HC","Scarab",5,5.3,7,5.89,12.64,4,10,3.18,5.62,3,24.64,10.83,4,1,3.86,4,5.76,1,6.47,1,2.52,0.98,22.62,3.61,1.34,1.42,1,2,1.14,1,5,0.88,1,1,15,1,9.68,8.09,1.52
71,"2019-11-15","Blight HC","Scarab",5,4.48,7,5.7,11.32,4,6.62,3.18,5.62,3,27.31,10.83,4,1,3.02,4,5.76,1,6.47,1,2.5,1,24.28,3.61,1.25,1,1,2,1,1,5,0.99,1,1,15,1,9.4,7.96,1.49
72,"2019-11-16","Blight HC","Scarab",4.69,5,7,5.82,11.26,4,11.65,3.41,5.62,3,26.88,10.85,4,1.84,3.01,4,4.36,1,6.77,1.82,2.61,0.99,25.64925,3.61,2,1,1,2,1,1,3.28,1,1,0.945,20,1.08,12,8.1,1.3
73,"2019-11-17","Blight HC","Scarab",4.78,5,7,6.62,9.92,4,11.65,4.52,7.1,3,32.37,10.63,4,1.84,3.15214,4,3.84,1,6.82,1.82,2.52,0.99,29.5,3.61,2,1.54,1,2,1,1,3.76,1,1,0.91,17.24,1.01,12,8.01,1.42
74,"2019-11-18","Blight HC","Scarab",4.52,5,6.58,6.53,9.68,4,11.62,4.52,5.3,3,35.724,12.07,4,2.01,3.06,4.2,2.74,1,5.82,1.97,2.42,0.99,29.65125,3.61,2,1.04,1,2,1,1,3.38,1,1,0.86,15,1,11.98,7.05,1
75,"2019-11-19","Blight HC","Scarab",4.11,4.94,6.7,6.53,8.88,4.4,11.08,4.55667,5.3,3,37.46,12.07,4,1.71,3.66,4.1,2,1,5.41,2.59,2.32,1.33,27.53,3.61,1.99,2,1,2,1,1,3.21,1,1,0.82,20.03,1.06,11.94,6.71,1
76,"2019-11-20","Blight HC","Scarab",3.5,5,6.60654,6.53,9.5,4.4,11.64,4.77,5.22,3.44,37.51,11.88,4,2.27,3.34,4.1,2,1,5.41,2.81,2.32,1.33,28.65,3.61,2,2,1,2,1,0.96,5,1,1,0.78,20.81,1.06,10.98,6.05,2.59889
77,"2019-11-21","Blight HC","Scarab",3.41,5.26,6,7,10,4,11.64,4.89,5.22,4.43,34.74,11.3,4,2.27,3.46,4.1,2,1,5.52,2.85,3,1.28063,27.14,3.83,2,1.92,1,2.1,1,0.91,5,1,1,0.78,20.77,1.28,10.01,6.05,3
78,"2019-11-22","Blight HC","Scarab",3.36071,5.09,7,9.19,10,4,11.64,5.04,5.54,4.43,35,11.3,4,3.67,3.39,4.21,2.07,1,5.33,2.85,3,1.3325,26.13,3.83,2,1.66,1,2.02,1,1.6,5,1,1,0.86,20,1.19,10.29,5.62,4
79,"2019-11-23","Blight HC","Scarab",3.25,5.2,7,9.19,10,4,11.64,5.23,5.54,3,34.4,11.3,4,3.67,3.07,4.32,2.04,1,6.84,2.66,3,1.32563,25,3.83,2,1.51,1,2,1,1.58667,5,1,1.02,0.87538,19.86,1.29,8.44,5.61167,4
80,"2019-11-24","Blight HC","Scarab",3,5,6.97,9.19,9.13,4,11.64,5.45,6.08,3,35,11.3,4,3.1,3.07,3.53,2.04,1,5.41,2.51,3,1.34,25,3.63,1.13,1,1,2.86,1,1.64,4.51,1,1.02,0.92,20,1,8.66,7,4
